date,value
1991-09-01 00:00:00,2.77681
1991-10-01 00:00:00,2.38279
1991-11-01 00:00:00,2.47832
1991-12-01 00:00:00,2.63844
1992-01-01 00:00:00,2.38815
1992-02-01 00:00:00,2.59607
1992-03-01 00:00:00,2.82256
1992-04-01 00:00:00,2.91365
1992-05-01 00:00:00,2.6256
1992-06-01 00:00:00,2.63414
1992-07-01 00:00:00,2.81127
1992-08-01 00:00:00,2.70947
1992-09-01 00:00:00,2.52478
1992-10-01 00:00:00,2.69515
1992-11-01 00:00:00,2.6716
1992-12-01 00:00:00,2.5946
1993-01-01 00:00:00,2.70443
1993-02-01 00:00:00,2.59885
1993-03-01 00:00:00,2.5608
1993-04-01 00:00:00,2.55707
1993-05-01 00:00:00,2.73721
1993-06-01 00:00:00,2.59022
1993-07-01 00:00:00,2.41641
1993-08-01 00:00:00,2.45406
1993-09-01 00:00:00,2.39355
1993-10-01 00:00:00,2.35384
1993-11-01 00:00:00,2.34609
1993-12-01 00:00:00,2.19085
1994-01-01 00:00:00,1.97724
1994-02-01 00:00:00,2.05963
1994-03-01 00:00:00,2.13132
1994-04-01 00:00:00,1.98044
1994-05-01 00:00:00,1.81418
1994-06-01 00:00:00,2.02756
1994-07-01 00:00:00,2.18571
1994-08-01 00:00:00,2.24643
1994-09-01 00:00:00,2.25329
1994-10-01 00:00:00,2.10565
1994-11-01 00:00:00,2.10624
1994-12-01 00:00:00,2.14846
1995-01-01 00:00:00,2.3215
1995-02-01 00:00:00,2.26595
1995-03-01 00:00:00,2.17329
1995-04-01 00:00:00,2.32068
1995-05-01 00:00:00,2.32942
1995-06-01 00:00:00,2.18041
1995-07-01 00:00:00,1.98703
1995-08-01 00:00:00,1.97197
1995-09-01 00:00:00,1.9293
1995-10-01 00:00:00,2.02032
1995-11-01 00:00:00,1.8238
1995-12-01 00:00:00,1.95399
1996-01-01 00:00:00,1.97387
1996-02-01 00:00:00,1.95402
1996-03-01 00:00:00,2.07362
1996-04-01 00:00:00,2.11112
1996-05-01 00:00:00,2.13005
1996-06-01 00:00:00,2.02903
1996-07-01 00:00:00,2.11646
1996-08-01 00:00:00,1.99417
1996-09-01 00:00:00,2.21193
1996-10-01 00:00:00,2.25609
1996-11-01 00:00:00,2.44099
1996-12-01 00:00:00,2.3631
1997-01-01 00:00:00,2.26874
1997-02-01 00:00:00,2.3206
1997-03-01 00:00:00,2.1202
1997-04-01 00:00:00,1.91524
1997-05-01 00:00:00,1.69339
1997-06-01 00:00:00,1.82513
1997-07-01 00:00:00,1.67107
1997-08-01 00:00:00,1.65505
1997-09-01 00:00:00,1.61297
1997-10-01 00:00:00,1.43884
1997-11-01 00:00:00,1.26445
1997-12-01 00:00:00,1.12567
1998-01-01 00:00:00,1.04421
1998-02-01 00:00:00,0.78117
1998-03-01 00:00:00,0.69064
1998-04-01 00:00:00,0.71699
1998-05-01 00:00:00,0.90091
1998-06-01 00:00:00,0.68655
1998-07-01 00:00:00,0.87507
1998-08-01 00:00:00,0.934
1998-09-01 00:00:00,0.63297
1998-10-01 00:00:00,0.72265
1998-11-01 00:00:00,0.72119
1998-12-01 00:00:00,0.8444
1999-01-01 00:00:00,0.93587
1999-02-01 00:00:00,0.93212
1999-03-01 00:00:00,0.99279
1999-04-01 00:00:00,1.35456
1999-05-01 00:00:00,1.28218
1999-06-01 00:00:00,1.39903
1999-07-01 00:00:00,1.41811
1999-08-01 00:00:00,1.46256
1999-09-01 00:00:00,1.88554
1999-10-01 00:00:00,1.83368
1999-11-01 00:00:00,1.92065
1999-12-01 00:00:00,2.05476
2000-01-01 00:00:00,2.18914
2000-02-01 00:00:00,2.56874
2000-03-01 00:00:00,2.93088
2000-04-01 00:00:00,2.35099
2000-05-01 00:00:00,2.36895
2000-06-01 00:00:00,2.68426
2000-07-01 00:00:00,2.66881
